Report Date:;26-07-2017 14:08;;;
25-07-2017 21:20;33600;1.012;23.796;10.079
25-07-2017 21:25;33900;1.012;23.845;10.078
25-07-2017 21:30;34200;1.012;23.943;10.078
25-07-2017 21:35;34500;1.012;24.924;10.078
25-07-2017 21:40;34800;1.012;24.581;10.08
25-07-2017 21:45;35100;1.012;24.336;10.076
25-07-2017 21:50;35400;1.012;24.238;10.077
25-07-2017 21:55;35700;1.012;24.189;10.082
25-07-2017 22:00;36000;1.012;24.189;10.08
25-07-2017 22:05;36300;1.012;24.238;10.082
25-07-2017 22:10;36600;1.012;24.287;10.083
25-07-2017 22:15;36900;1.013;24.287;10.086
25-07-2017 22:20;37200;1.013;24.385;10.086
25-07-2017 22:25;37500;1.012;24.434;10.079
25-07-2017 22:30;37800;1.013;24.434;10.084
25-07-2017 22:35;38100;1.012;24.532;10.083
25-07-2017 22:40;38400;1.013;24.483;10.085
25-07-2017 22:45;38700;1.012;24.434;10.074
25-07-2017 22:50;39000;1.012;24.483;10.083
25-07-2017 22:55;39300;1.012;24.385;10.078
25-07-2017 23:00;39600;1.012;24.434;10.078
25-07-2017 23:05;39900;1.012;24.434;10.083
25-07-2017 23:10;40200;1.013;24.385;10.086
25-07-2017 23:15;40500;1.013;24.336;10.084
25-07-2017 23:20;40800;1.012;24.385;10.083
25-07-2017 23:25;41100;1.013;24.434;10.084
25-07-2017 23:30;41400;1.013;24.483;10.088
25-07-2017 23:35;41700;1.012;24.483;10.083
25-07-2017 23:40;42000;1.013;24.532;10.088
25-07-2017 23:45;42300;1.013;24.581;10.091
25-07-2017 23:50;42600;1.013;24.68;10.087
25-07-2017 23:55;42900;1.013;24.729;10.086
26-07-2017 00:00;43200;1.013;24.729;10.087
26-07-2017 00:05;43500;1.013;24.778;10.091
26-07-2017 00:10;43800;1.013;24.827;10.089
26-07-2017 00:15;44100;1.014;24.876;10.094
26-07-2017 00:20;44400;1.013;24.924;10.091
26-07-2017 00:25;44700;1.013;24.973;10.09
26-07-2017 00:30;45000;1.013;25.022;10.092
26-07-2017 00:35;45300;1.013;25.071;10.085
26-07-2017 00:40;45600;1.013;25.071;10.091
26-07-2017 00:45;45900;1.013;25.12;10.091
26-07-2017 00:50;46200;1.013;25.218;10.086
26-07-2017 00:55;46500;1.014;25.267;10.093
26-07-2017 01:00;46800;1.013;25.316;10.085
26-07-2017 01:05;47100;1.013;25.414;10.091
26-07-2017 01:10;47400;1.013;25.462;10.092
26-07-2017 01:15;47700;1.014;25.511;10.094
26-07-2017 01:20;48000;1.013;25.56;10.088
26-07-2017 01:25;48300;1.013;25.658;10.087
26-07-2017 01:30;48600;1.013;25.658;10.09
26-07-2017 01:35;48900;1.013;25.707;10.088
26-07-2017 01:40;49200;1.013;25.755;10.083
26-07-2017 01:45;49500;1.013;25.755;10.087
26-07-2017 01:50;49800;1.013;25.804;10.089
26-07-2017 01:55;50100;1.014;25.853;10.095
26-07-2017 02:00;50400;1.013;25.853;10.09
26-07-2017 02:05;50700;1.013;25.902;10.085
26-07-2017 02:10;51000;1.013;25.902;10.083
26-07-2017 02:15;51300;1.013;25.95;10.087
26-07-2017 02:20;51600;1.013;25.999;10.088
26-07-2017 02:25;51900;1.013;26.048;10.088
26-07-2017 02:30;52200;1.014;26.048;10.093
26-07-2017 02:35;52500;1.013;26.097;10.087
26-07-2017 02:40;52800;1.012;26.048;10.08
26-07-2017 02:45;53100;1.013;26.048;10.087
26-07-2017 02:50;53400;1.013;26.048;10.089
26-07-2017 02:55;53700;1.013;26.048;10.085
26-07-2017 03:00;54000;1.013;26.048;10.089
26-07-2017 03:05;54300;1.014;25.999;10.093
26-07-2017 03:10;54600;1.013;25.999;10.083
26-07-2017 03:15;54900;1.013;25.95;10.087
26-07-2017 03:20;55200;1.012;25.853;10.082
26-07-2017 03:25;55500;1.012;25.804;10.08
26-07-2017 03:30;55800;1.013;25.755;10.086
26-07-2017 03:35;56100;1.013;25.658;10.088
26-07-2017 03:40;56400;1.013;25.609;10.087
26-07-2017 03:45;56700;1.012;25.609;10.08
26-07-2017 03:50;57000;1.012;25.609;10.08
26-07-2017 03:55;57300;1.012;25.609;10.081
26-07-2017 04:00;57600;1.013;25.609;10.09
26-07-2017 04:05;57900;1.013;25.609;10.089
26-07-2017 04:10;58200;1.013;25.511;10.085
26-07-2017 04:15;58500;1.012;25.511;10.082
26-07-2017 04:20;58800;1.012;25.462;10.081
26-07-2017 04:25;59100;1.013;25.462;10.089
26-07-2017 04:30;59400;1.012;25.462;10.082
26-07-2017 04:35;59700;1.012;25.414;10.082
26-07-2017 04:40;60000;1.013;25.414;10.084
26-07-2017 04:45;60300;1.013;25.414;10.091
26-07-2017 04:50;60600;1.012;25.365;10.078
26-07-2017 04:55;60900;1.013;25.316;10.085
26-07-2017 05:00;61200;1.013;25.316;10.084
26-07-2017 05:05;61500;1.013;25.316;10.085
26-07-2017 05:10;61800;1.013;25.316;10.085
26-07-2017 05:15;62100;1.012;25.316;10.082
26-07-2017 05:20;62400;1.012;25.267;10.078
26-07-2017 05:25;62700;1.013;25.169;10.086
26-07-2017 05:30;63000;1.013;25.12;10.085
26-07-2017 05:35;63300;1.013;25.12;10.09
26-07-2017 05:40;63600;1.012;25.12;10.081
26-07-2017 05:45;63900;1.013;25.071;10.088
26-07-2017 05:50;64200;1.013;25.12;10.086
26-07-2017 05:55;64500;1.013;25.071;10.086
26-07-2017 06:00;64800;1.013;25.12;10.09
26-07-2017 06:05;65100;1.013;25.12;10.085
26-07-2017 06:10;65400;1.013;25.12;10.085
26-07-2017 06:15;65700;1.013;25.12;10.091
26-07-2017 06:20;66000;1.013;25.071;10.088
26-07-2017 06:25;66300;1.014;25.022;10.094
26-07-2017 06:30;66600;1.013;25.022;10.085
26-07-2017 06:35;66900;1.013;25.022;10.09
26-07-2017 06:40;67200;1.012;24.973;10.082
26-07-2017 06:45;67500;1.013;24.924;10.085
26-07-2017 06:50;67800;1.013;24.876;10.089
26-07-2017 06:55;68100;1.013;24.924;10.092
26-07-2017 07:00;68400;1.013;24.876;10.091
